x	y
	
0	0
	
-210.1375093	-235.7738688
	
-206.0408756	-232.9072345
	
-201.96565	-230.0111151
	
-197.9714821	-227.0033499
	
-193.9773169	-223.9955831
	
-189.9831544	-220.9878146
	
-185.9889946	-217.9800445
	
-181.9948376	-214.9722727
	
-178.0006832	-211.9644992
	
-174.2130411	-208.7023933
	
-170.449353	-205.4107883
	
-166.6856677	-202.1191819
	
-162.9219851	-198.8275739
	
-159.1582974	-195.5359734
	
-155.3943674	-192.2446446
	
-151.6304402	-188.9533144
	
-147.8665157	-185.6619828
	
-144.2123981	-182.2531037
	
-140.6727308	-178.7217067
	
-137.1330662	-175.1903085
	
-133.5934043	-171.658909
	
-130.2150771	-167.9760726
	
-126.9146064	-164.2201572
	
-123.6141383	-160.4642406
	
-120.3136729	-156.7083229
	
-117.1093831	-152.8715743
	
-113.977516	-148.9739583
	
-110.8456515	-145.0763413
	
-107.7210876	-141.1728692
	
-104.418833	-137.4579402
	
-100.3392596	-134.5670787
	
-95.58143327	-133.2002547
	
-90.683749	-132.3328525
	
-85.69073912	-132.5971487
	
-80.71137459	-133.0075326
	
-75.75578661	-133.6724743
	
-70.796146	-134.2949295
	
-65.80421029	-134.5787925
	
-60.81227447	-134.8626526
	
-55.81430172	-134.9343459
	
-50.81430181	-134.9347856
	
-45.84859086	-134.3963474
	
-40.88897299	-133.7621624
	
-35.93327334	-133.1014036
	
-31.00166317	-132.2772504
	
-26.0700541	-131.4530944
	
-21.13844614	-130.6289359
	
-16.19060245	-129.915202
	
-11.23047462	-129.2850167
	
-6.270347686	-128.6548287
	
-1.276340607	-128.5063397
	
3.723165235	-128.4360309
	
8.722670785	-128.3657194
	
13.72217604	-128.2954051
	
18.71499731	-128.4645511
	
23.70279614	-128.8136401
	
28.69059516	-129.1627262
	
33.67839436	-129.5118096
	
38.66619372	-129.8608902
	
43.65399327	-130.209968
	
48.58443516	-130.9514268
	
53.46345692	-132.0446526
	
58.34247969	-133.1378757
	
63.22150345	-134.2310961
	
68.0316624	-135.5599673
	
72.73160009	-137.2660095
	
77.43153942	-138.9720492
	
82.13148038	-140.6780863
	
86.40066747	-143.2699458
	
90.64486285	-145.913202
	
94.88906066	-148.5564561
	
98.8320116	-151.6076059
	
102.6067038	-154.8865834
	
106.3813987	-158.1655591
	
110.163848	-161.4354514
	
113.994543	-164.648821
	
117.8252408	-167.8621888
	
121.6559413	-171.0755548
	
125.4866446	-174.288919
	
129.3173506	-177.5022815
	
133.1480593	-180.7156421
	
136.9787707	-183.929001
	
140.7998791	-187.1536612
	
144.5899429	-190.4148527
	
148.3800095	-193.6760426
	
152.1700788	-196.9372306
	
155.9601509	-200.1984169
	
159.7502258	-203.4596014
	
163.5403034	-206.7207842
	
167.3303837	-209.9819652
	
171.1204669	-213.2431445
	
174.9105527	-216.504322
	
178.7006414	-219.7654977
	
182.4857116	-223.0323135
	
186.1648316	-226.4181771
	
189.9247419	-229.704295
	
194.000956	-232.5998909
	
198.0955942	-235.4611986
	
202.7600812	-237.2619092
	
207.5094416	-238.7398581
	
212.4563533	-239.4665385
	
217.4244399	-239.9895776
	
222.4150293	-240.2962009
	
227.4056188	-240.6028215
	
232.3962085	-240.9094392
	
237.385916	-241.2296
	
242.3741125	-241.5729616
	
247.3623091	-241.9163203
	
252.350506	-242.2596763
	
257.3387029	-242.6030294
	
262.3269001	-242.9463798
	
267.3150974	-243.2897274
	
272.3032949	-243.6330721
	
277.2914926	-243.9764141
	
282.2796904	-244.3197533
	
287.2678884	-244.6630897
	
292.2560866	-245.0064232
	
297.2442849	-245.349754
	
302.2286093	-245.7452445
	
307.2127957	-246.1425922
	
312.1969824	-246.5399371
	
317.1811693	-246.9372791
	
322.1653564	-247.3346184
	
327.1495437	-247.7319549
	
332.1337313	-248.1292886
	
337.1179192	-248.5266196
	
342.1021072	-248.9239477
	
347.0862955	-249.321273
	
352.070484	-249.7185955
	
357.0546727	-250.1159152
	
362.0388617	-250.5132321
	
367.0205206	-250.9410116
	
372.0019643	-251.3713816
	
376.9847247	-251.7434902
	
381.9805235	-251.5385626
	
386.9456477	-251.1007727
	
391.8240922	-250.0049716
	
396.6467772	-248.7115572
	
401.3784848	-247.0957162
	
405.7829964	-244.7536178
	
410.0516812	-242.1757212
	
413.713266	-238.770901
	
417.2883408	-235.2878022
	
420.3113594	-231.3051699
	
423.1383087	-227.1937534
	
425.5924928	-222.8374931
	
428.0466747	-218.4812323
	
430.5008544	-214.1249709
	
432.9550318	-209.768709
	
435.4092071	-205.4124464
	
437.8633801	-201.0561833
	
440.3175509	-196.6999196
	
442.7717195	-192.3436553
	
445.2258859	-187.9873905
	
447.6891316	-183.6362522
	
450.154276	-179.2861866
	
452.6194183	-174.9361205
	
455.0845583	-170.5860537
	
457.5496961	-166.2359864
	
459.7699092	-161.7627635
	
461.7915698	-157.1897023
	
463.1802784	-152.4599241
	
463.525918	-147.4718851
	
463.6779744	-142.5018883
	
462.4165074	-137.6636343
	
461.1550419	-132.8253801
	
458.9416752	-128.3512406
	
456.6521668	-123.9062265
	
454.2886507	-119.5009395
	
451.8491994	-115.1364141
	
449.4097507	-110.7718879
	
446.9703045	-106.4073609
	
444.8153119	-101.8966622
	
442.687039	-97.37223345
	
440.5587685	-92.84780409
	
438.5755748	-88.25831814
	
436.9516598	-83.55332103
	
435.9346583	-78.65784272
	
436.351857	-73.70766055
	
437.6450007	-68.93629633
	
439.7579573	-64.40764544
	
442.7063625	-60.36946395
	
445.7307223	-56.39180468
	
449.0085567	-52.61611642
	
452.2863885	-48.84042707
	
455.5642175	-45.06473664
	
458.8420439	-41.28904514
	
462.1198676	-37.51335255
	
465.4086046	-33.74719525
	
468.7106866	-29.99269747
	
471.5984559	-25.92043725
	
474.2360622	-21.69864412
	
475.4922492	-16.85901653
	
476.748435	-12.0193888
	
476.6106059	-7.063053196
	
476.176621	-2.081923096
	
475.3038817	2.814886595
	
473.8605838	7.602045585
	
472.2672675	12.33768449
	
470.4648564	17.00151507
	
468.6624474	21.66534615
	
466.8263315	26.31587187
	
464.9570166	30.9532927
	
463.0877038	35.59071404
	
461.2183932	40.2281359
	
459.3490848	44.86555828
	
457.4797785	49.50298118
	
455.6104743	54.1404046
	
453.7411723	58.77782853
	
451.8936022	63.4237637
	
450.1165031	68.0972993
	
448.339406	72.77083538
	
446.562311	77.44437194
	
444.7852181	82.11790897
	
443.0081273	86.79144649
	
441.2310385	91.46498447
	
439.4539519	96.13852294
	
437.6768672	100.8120619
	
435.8997847	105.4856013
	
434.1227043	110.1591412
	
432.3456259	114.8326816
	
430.5685496	119.5062224
	
428.7896127	124.1790567
	
427.0090344	128.8512676
	
425.2284582	133.523479
	
423.4478841	138.1956909
	
421.6673121	142.8679033
	
419.8867421	147.5401161
	
418.1061742	152.2123294
	
416.3256084	156.8845432
	
414.5450447	161.5567575
	
412.764483	166.2289722
	
410.9839235	170.9011874
	
409.2033914	175.5734128
	
407.445664	180.2542685
	
405.6879387	184.9351247
	
403.9302154	189.6159814
	
402.1724941	194.2968386
	
400.414775	198.9776962
	
398.6570579	203.6585543
	
396.8993428	208.3394128
	
395.1416298	213.0202719
	
393.3839189	217.7011314
	
391.6262101	222.3819913
	
389.8685033	227.0628518
	
388.1107985	231.7437127
	
386.3889606	236.437815
	
384.683657	241.1380214
	
382.9783554	245.8382283
	
381.3641442	250.5702779
	
379.7697854	255.3092672
	
378.0242122	259.9937878
	
376.2303943	264.6609301
	
374.1241145	269.1697271
	
371.4211201	273.3761297
	
368.5919094	277.4904293
	
365.4106056	281.3478006
	
362.2293046	285.2051732
	
359.0480065	289.0625471
	
355.5036548	292.5863875
	
351.9292406	296.0826088
	
348.3548291	299.5788318
	
344.4733148	302.7281888
	
340.5697597	305.8526502
	
336.6662073	308.9771135
	
332.3629241	311.4820917
	
327.9075296	313.7513339
	
323.4521371	316.0205785
	
318.7042574	317.5830293
	
313.9481869	319.1256864
	
308.9965893	319.7608841
	
304.0272469	320.3137277
	
299.0428497	320.3378886
	
294.0500994	320.0687331
	
289.1283782	319.329896
	
284.2793004	318.1106978
	
279.7298913	316.2225661
	
275.5920127	313.4157961
	
271.6441997	310.4064769
	
268.5802427	306.4552535
	
266.3609554	302.0793176
	
265.0166716	297.2634167
	
265.190261	292.2948894
	
266.2597799	287.5015624
	
268.4816467	283.0223541
	
270.7789473	278.5839122
	
273.3085925	274.2710368
	
276.23261	270.252245
	
279.6445693	266.597312
	
282.9955732	262.8866695
	
286.3295777	259.1604898
	
289.5338409	255.3245103
	
292.6574569	251.4202787
	
295.0546337	247.0766223
	
296.824738	242.4209353
	
297.8661273	237.5305868
	
298.6207343	232.5909111
	
299.2731544	227.6336591
	
299.9255755	222.6764072
	
300.5779976	217.7191554
	
301.2304207	212.7619037
	
301.8828448	207.8046522
	
302.5352699	202.8474007
	
303.2020342	197.8920659
	
303.8743833	192.9374775
	
304.5467335	187.9828892
	
305.2190846	183.0283011
	
305.8914368	178.0737131
	
306.56379	173.1191252
	
307.2361442	168.1645375
	
307.9084995	163.2099498
	
308.5808557	158.2553623
	
309.253213	153.3007749
	
309.9255713	148.3461876
	
310.5839546	143.3897485
	
311.2252709	138.4310477
	
311.8665882	133.4723471
	
312.5079065	128.5136466
	
313.1492257	123.5549462
	
313.790546	118.5962459
	
314.4421792	113.6389686
	
315.1677113	108.6918884
	
315.8932445	103.7448083
	
316.6187788	98.79772832
	
317.0658363	93.82401623
	
317.2911062	88.82909344
	
317.5163766	83.83417072
	
317.0524027	78.86874719
	
316.4011788	73.91133785
	
315.7499544	68.95392856
	
314.8250167	64.05894942
	
313.2622351	59.30945344
	
311.6994522	54.55995769
	
310.0590891	49.84485012
	
307.5894895	45.49731371
	
305.1198877	41.1497779
	
302.5594194	36.86247257
	
299.5171108	32.89455717
	
296.4747995	28.9266427
	
293.1407779	25.21703311
	
289.5702268	21.7168666
	
285.5412372	18.80445951
	
281.2769925	16.1936703
	
276.6941223	14.21997981
	
272.0031623	12.52582392
	
267.0915387	11.58990163
	
262.179914	10.65398199
	
257.2025956	10.29775542
	
252.2060912	10.11083056
	
247.2095863	9.923908486
	
242.213081	9.736989185
	
237.2158406	9.572097207
	
232.2180083	9.42493512
	
227.2201756	9.277775814
	
222.2223426	9.130619289
	
217.2245091	8.983465544
	
212.2266753	8.83631458
	
207.2288412	8.689166399
	
202.2310066	8.542020997
	
197.2331717	8.394878378
	
192.2353364	8.247738538
	
187.2375007	8.10060148
	
182.2396646	7.953467205
	
177.2418282	7.806335709
	
172.2465495	7.591759458
	
167.2519015	7.360545541
	
162.2572531	7.129334397
	
157.2626042	6.898126025
	
152.2679548	6.666920427
	
147.2733049	6.435717601
	
142.2786546	6.204517548
	
137.2840038	5.973320269
	
132.2893525	5.742125764
	
127.2947007	5.510934029
	
122.3000485	5.279745067
	
117.3053958	5.048558879
	
112.3107427	4.817375463
	
107.316089	4.586194819
	
102.3214349	4.35501695
	
97.32678036	4.123841853
	
92.33212532	3.89266953
	
87.33746981	3.661499978
	
82.34281383	3.430333199
	
77.34815738	3.199169193
	
72.35350045	2.968007961
	
67.35805588	2.754999291
	
62.36223548	2.550648735
	
57.36641463	2.346300955
	
52.37059334	2.141955951
	
47.37477161	1.937613721
	
42.37894944	1.733274268
	
37.38312683	1.528937589
	
32.38730377	1.324603688
	
27.39148028	1.120272561
	
22.39565635	0.915944209
	
17.39983197	0.711618634
	
12.40400715	0.507295835
	
7.408181898	0.302975812
	
2.4123562	0.098658562
